timestamp,bot_on,player
0,1.0,7
1,1.0,7
2,1.0,7
3,1.0,7
4,1.0,7
5,1.0,7
6,1.0,7
7,1.0,7
8,1.0,7
9,1.0,7
10,1.0,7
11,1.0,7
12,1.0,7
13,1.0,7
14,1.0,7
15,1.0,7
16,1.0,7
17,1.0,7
18,1.0,7
19,1.0,7
20,1.0,7
21,1.0,7
22,1.0,7
23,1.0,7
24,1.0,7
25,1.0,7
26,1.0,7
27,1.0,7
28,1.0,7
29,1.0,7
30,1.0,7
31,1.0,7
32,1.0,7
33,1.0,7
34,1.0,7
35,1.0,7
36,1.0,7
37,1.0,7
38,1.0,7
39,1.0,7
40,1.0,7
41,1.0,7
42,1.0,7
43,1.0,7
44,1.0,7
45,1.0,7
46,1.0,7
47,1.0,7
48,1.0,7
49,1.0,7
50,1.0,7
51,1.0,7
52,1.0,7
53,1.0,7
54,1.0,7
55,1.0,7
56,1.0,7
57,1.0,7
58,1.0,7
59,1.0,7
60,1.0,7
61,1.0,7
62,1.0,7
63,1.0,7
64,1.0,7
65,1.0,7
66,1.0,7
67,1.0,7
68,1.0,7
69,1.0,7
70,1.0,7
71,1.0,7
72,1.0,7
73,1.0,7
74,1.0,7
75,1.0,7
76,1.0,7
77,1.0,7
78,1.0,7
79,1.0,7
80,1.0,7
81,1.0,7
82,1.0,7
83,1.0,7
84,1.0,7
85,1.0,7
86,1.0,7
87,1.0,7
88,1.0,7
89,1.0,7
90,1.0,7
91,1.0,7
92,1.0,7
93,1.0,7
94,1.0,7
95,1.0,7
96,1.0,7
97,1.0,7
98,1.0,7
99,1.0,7
100,1.0,7
101,1.0,7
102,1.0,7
103,1.0,7
104,1.0,7
105,1.0,7
106,1.0,7
107,1.0,7
108,1.0,7
109,1.0,7
110,1.0,7
111,1.0,7
112,1.0,7
113,1.0,7
114,1.0,7
115,1.0,7
116,1.0,7
117,1.0,7
118,1.0,7
119,1.0,7
120,1.0,7
121,1.0,7
122,1.0,7
123,1.0,7
124,1.0,7
125,1.0,7
126,1.0,7
127,1.0,7
128,1.0,7
129,1.0,7
130,1.0,7
131,1.0,7
132,1.0,7
133,1.0,7
134,1.0,7
135,1.0,7
136,1.0,7
137,1.0,7
138,1.0,7
139,1.0,7
140,1.0,7
141,1.0,7
142,1.0,7
143,1.0,7
144,1.0,7
145,1.0,7
146,1.0,7
147,1.0,7
148,1.0,7
149,1.0,7
150,1.0,7
151,1.0,7
152,1.0,7
153,1.0,7
154,1.0,7
155,1.0,7
156,1.0,7
157,1.0,7
158,1.0,7
159,1.0,7
160,1.0,7
161,1.0,7
162,1.0,7
163,1.0,7
164,1.0,7
165,1.0,7
166,1.0,7
167,1.0,7
168,1.0,7
169,1.0,7
170,1.0,7
171,1.0,7
172,1.0,7
173,1.0,7
174,1.0,7
175,1.0,7
176,1.0,7
177,1.0,7
178,1.0,7
179,1.0,7
180,1.0,7
181,1.0,7
182,1.0,7
183,1.0,7
